model,role,n,w_min,w_max,missing,mean,std,skew,kurt,H_mean,G_mean,K_mean,acf_H_1,acf_H_2,acf_H_3,acf_H_4,acf_H_5
GPT-2 Small,attn_input,21233664,-3.334056854248047,3.0998494625091553,0,9.143024726654403e-06,0.14084194600582123,0.00010822056356118992,3.0638256072998047,0.09867543135381614,-4.556912898614935e-06,0.5999775481900856,-0.11880419176511853,0.09499616815468484,0.10167815189250816,0.17962414065838214,-0.09074559295911434
GPT-2 Small,attn_output,7077888,-8.881817817687988,8.703431129455566,0,-2.1445561287691817e-05,0.12158896774053574,-0.1635056436061859,94.93949890136719,0.07749726562057428,-0.00021560655535299655,0.5999173955429761,0.7164682044956838,0.526106974658589,0.27877939215673786,0.05598461111964842,-0.10166064020145579
GPT-2 Small,ffn_input,28311552,-5.8740129470825195,10.555802345275879,0,-0.002898278646171093,0.1297980695962906,0.013586246408522129,3.549983501434326,0.09622220280774248,-0.0020674344300203045,0.5825801392565432,-0.12040979882150425,0.06946806732823486,-0.14461415608020933,0.006591597828584922,-0.19946766539596067
GPT-2 Small,ffn_output,28311552,-11.050446510314941,17.10232925415039,0,5.083258656668477e-05,0.12565456330776215,0.5266493558883667,76.2057113647461,0.08638281637589292,3.7775789745963236e-05,0.5819162819367583,0.7392007498850572,0.4579133442341453,0.2160893521708615,0.010781865482837704,-0.1559005677053937
GPT-2 Medium,attn_input,75497472,-2.920058488845825,2.699282169342041,0,2.5613851448724745e-06,0.11178912222385406,-0.0007447404786944389,2.336678981781006,0.08075166100873805,2.169052369196549e-05,0.5883607422818721,-0.22151518291423902,-0.21450056910127832,-0.050247556498852625,0.04790379415123334,0.11814649163780598
GPT-2 Medium,attn_output,25165824,-9.32827377319336,9.253884315490723,0,6.77123898640275e-06,0.0968543142080307,-0.11354843527078629,101.62594604492188,0.06686017001266009,-0.00036854121553299033,0.5802417351243053,0.7673557866987103,0.645495084861665,0.530818683903081,0.40475054584460723,0.2770764918863082
GPT-2 Medium,ffn_input,100663296,-4.972433090209961,5.147237300872803,0,0.00048312326543964446,0.10531806200742722,0.004300652537494898,1.425999641418457,0.07942243741126731,0.0008320044894147095,0.5750066131258263,0.58019403230463,0.09309000600903009,-0.12917548862946926,-0.20369116278621113,-0.20882682659292007
GPT-2 Medium,ffn_output,100663296,-19.051124572753906,16.643083572387695,0,1.3762747585133184e-05,0.10765781998634338,-0.23478831350803375,80.59745788574219,0.07676397140797538,-1.5017013876838494e-05,0.5776297888649914,0.888236531475222,0.7591280905485903,0.6310593987095233,0.5047282340831338,0.3780767532307953
OPT-125M,attn_input,21233664,-0.79931640625,0.828125,0,-2.4561626560171135e-05,0.05197543650865555,-0.004415713716298342,4.216546535491943,0.0337523619333903,-0.00028453882262945146,0.6650913051453989,-0.17520682624902068,-0.024206459074362856,-0.19652110934667036,-0.09424852146900577,0.07537324331524063
OPT-125M,attn_output,7077888,-0.87744140625,0.89892578125,0,-4.196496320219012e-06,0.019810093566775322,0.04802374169230461,40.690277099609375,0.013573110103607178,-0.00012771994071393813,0.5898748597764901,0.6504525609602333,0.3553303381812271,0.13749875114131765,0.025580465754219444,-0.03748981654306001
OPT-125M,ffn_input,28311552,-1.0400390625,0.91943359375,0,-0.0015276147751137614,0.02850618213415146,-0.11634539067745209,11.076409339904785,0.0200960636138916,-0.014031946156381961,0.5909127090072332,-0.09393082076918204,-0.31867563647770947,0.253227266751357,0.009881571194221922,-0.05153781307972439
OPT-125M,ffn_output,28311552,-1.2314453125,1.560546875,0,-1.2086215974704828e-05,0.030306462198495865,-0.16699931025505066,14.801483154296875,0.020905752976735432,-0.0008165453301466242,0.617233855422292,-0.031887835916597135,-0.128522823554522,0.3753082274103059,-0.010058498119154158,-0.07376778181395395
Pythia-160M,attn_input,21233664,-1.8681640625,1.6796875,0,1.4750505215488374e-05,0.06698331981897354,0.010518535040318966,24.867862701416016,0.025708238283793133,-0.00010659783669329635,0.6590454422237945,0.599881438342915,0.23984454361642626,0.11816663527287515,-0.06307932114045248,-0.18720560501575526
Pythia-160M,attn_output,7077888,-0.39453125,0.368896484375,0,1.1804323776232195e-06,0.01878078281879425,-0.0017428583232685924,1.829390048980713,0.013558626174926758,-0.0006241458482262864,0.5794836941798481,0.740476160767488,0.38845430631954225,0.0632054045513284,-0.29339265653596935,-0.46201822111865265
Pythia-160M,ffn_input,28311552,-0.98779296875,0.62353515625,0,-4.871151759289205e-05,0.028278281912207603,-0.017634518444538116,2.499350070953369,0.021065314610799152,-0.0012139297081885348,0.5766269288752744,0.522515581379377,0.014248784120998817,-0.3607162401111854,-0.30455120153646736,-0.18461749605269698
Pythia-160M,ffn_output,28311552,-0.677734375,0.90087890625,0,5.9009012147726025e-06,0.02352640964090824,0.015168046578764915,2.467552661895752,0.01724398632844289,-6.725402080688806e-05,0.5750703180290632,0.7665029765322916,0.45132590976454906,0.21054891223304006,-0.010315794749970885,-0.11740375419697212
