model,role,acf_1,acf_2,acf_3,acf_4,acf_5
GPT-2 Small,attn_input,-0.0001,0.0002,0.0012,0.0005,-0.0003
GPT-2 Small,attn_output,-0.0016,0.0003,-0.0011,-0.0009,0.0001
GPT-2 Small,ffn_input,0.0217,0.0216,0.0214,0.0218,0.0219
GPT-2 Small,ffn_output,-0.0018,0.0002,-0.0009,-0.0016,-0.0008
GPT-2 Medium,attn_input,0.0,0.0003,-0.0001,-0.0002,0.0
GPT-2 Medium,attn_output,-0.0006,-0.0015,-0.0002,-0.0007,-0.0011
GPT-2 Medium,ffn_input,0.0257,0.0255,0.0256,0.0255,0.0256
GPT-2 Medium,ffn_output,-0.0003,-0.0009,-0.0015,-0.0008,-0.0012
OPT-125M,attn_input,0.0077,0.0052,0.0035,0.0058,0.004
OPT-125M,attn_output,0.001,0.0,0.001,0.0008,-0.0002
OPT-125M,ffn_input,0.0067,0.0071,0.0061,0.0076,0.0082
OPT-125M,ffn_output,0.0024,0.0024,0.0024,0.0024,0.0021
Pythia-160M,attn_input,-0.002,-0.0043,-0.012,-0.0026,-0.0009
Pythia-160M,attn_output,0.0005,0.0,-0.0,0.0014,-0.0013
Pythia-160M,ffn_input,-0.0008,-0.0014,-0.0008,0.0004,-0.0011
Pythia-160M,ffn_output,0.0002,0.0004,0.0005,0.0005,0.0008
