model,type,H_ct,G_ct,K_ct,H_mp,G_mp,K_mp
GPT2-Medium,attn_input,0.08075,2e-05,0.58836,0.06888,2e-05,0.6534
GPT2-Medium,attn_output,0.06686,-0.00037,0.58024,0.05811,-0.00013,0.63431
GPT2-Medium,ffn_input,0.07942,0.00083,0.57501,0.06956,0.00093,0.62406
GPT2-Medium,ffn_output,0.07676,-2e-05,0.57763,0.06699,-3e-05,0.62923
GPT2-Small,attn_input,0.09868,-0.0,0.59998,0.08205,0.00016,0.67978
GPT2-Small,attn_output,0.0775,-0.00022,0.59992,0.0654,0.00045,0.69222
GPT2-Small,ffn_input,0.09622,-0.00207,0.58258,0.08313,-0.00247,0.63942
GPT2-Small,ffn_output,0.08638,4e-05,0.58192,0.07502,-5e-05,0.63817
OPT-125M,attn_input,0.03413,0.00022,0.60025,0.02859,-0.00013,0.67845
OPT-125M,attn_output,0.01357,-0.00013,0.58987,0.01163,-0.00025,0.65388
OPT-125M,ffn_input,0.0201,-0.01403,0.59091,0.01711,-0.0108,0.65683
OPT-125M,ffn_output,0.02091,-0.00082,0.61723,0.0171,-0.0006,0.72213
Pythia-160M,attn_input,0.02571,-0.00011,0.65905,0.0177,2e-05,0.85489
Pythia-160M,attn_output,0.01356,-0.00062,0.57948,0.01178,-0.00102,0.63262
Pythia-160M,ffn_input,0.02107,-0.00121,0.57663,0.0184,-0.00106,0.62715
Pythia-160M,ffn_output,0.01724,-7e-05,0.57507,0.01509,0.00027,0.62415
